20001,1051,Sweden,KYS,
20002,1052,Sweden,KOKS,
20003,1053,Finland,KOKS,
20004,1054,Sweden,TAYS,
20005,1055,Sweden,KOKS,
20006,1056,Sweden,TAYS,
20007,1057,Sweden,KOKS,
20008,1058,Sweden,KYS,
20009,1059,Sweden,KYS,
20010,1060,Sweden,KOKS,
20011,1061,Finland,TAYS,
20012,1062,Norway,KYS,
20013,1063,Sweden,KYS,
20014,1064,Sweden,KOKS,
20015,1065,Finland,KOKS,
20016,1066,Sweden,KYS,
20017,1067,Finland,TAYS,
20018,1068,Sweden,KYS,
20019,1069,Finland,TAYS,
20020,1070,Sweden,KYS,
20021,1071,Sweden,KYS,
20022,1072,Norway,KYS,
20023,1073,Sweden,KYS,
20024,1074,Sweden,TAYS,
20025,1075,Norway,KYS,
20026,1076,Sweden,KYS,
20027,1077,Sweden,KYS,
20028,1078,Sweden,KYS,
20029,1079,Finland,TAYS,
20030,1080,Finland,KYS,
20031,1081,Sweden,TAYS,
20032,1082,Finland,KOKS,
20033,1083,Finland,KOKS,
20034,1084,Sweden,KYS,
20035,1085,Sweden,TAYS,
20036,1086,Sweden,KOKS,
20037,1087,Sweden,TAYS,
20038,1088,Sweden,KOKS,
20039,1089,Sweden,KOKS,
20040,1090,Finland,KOKS,
20041,1091,Sweden,TAYS,
20042,1092,Sweden,TAYS,
20043,1093,Sweden,KYS,
20044,1094,Sweden,KYS,
20045,1095,Sweden,KOKS,
20046,1096,Sweden,KOKS,
20047,1097,Sweden,KOKS,
20048,1098,Sweden,KYS,
20049,1099,Sweden,TAYS,
20050,1100,Sweden,KYS,
